Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoskeleton Organization (GO:0007010)	1/112	0.1261574800052537	0.16620747365771518	0	0	7.781041911476694	16.108502130987272	AJUBA
Regulation of Cellular Response to Stress (GO:0080135)	1/112	0.1261574800052537	0.16620747365771518	0	0	7.781041911476694	16.108502130987272	AJUBA
Regulation of mRNA Splicing, via Spliceosome (GO:0048024)	1/113	0.12721199471109496	0.1667146667529613	0	0	7.711180124223603	15.899684877362125	WDR77
Cellular Response to Metal Ion (GO:0071248)	1/114	0.12826528982805838	0.16721495899050542	0	0	7.6425548287803	15.695167750756225	ECT2
Positive Regulation of Epithelial Cell Proliferation (GO:0050679)	1/117	0.13141787125162785	0.17043255177945488	0	0	7.443778110944527	15.106203624202356	CLDN1
Positive Regulation of Cell Cycle Process (GO:0090068)	1/121	0.13560432072804943	0.17495065213100677	0	0	7.194202898550724	14.37411839940444	ECT2
Protein Localization to Nucleus (GO:0034504)	1/123	0.13769028719074233	0.1758199051820248	0	0	7.075552387740556	14.029040259048296	RAN
Regulation of Protein-Containing Complex Assembly (GO:0043254)	1/123	0.13769028719074233	0.1758199051820248	0	0	7.075552387740556	14.029040259048296	AJUBA
Mitotic Sister Chromatid Segregation (GO:0000070)	1/128	0.14288411902949705	0.18152115121604473	0	0	6.7952755905511815	13.221712684740357	RAN
Positive Regulation of Inflammatory Response (GO:0050729)	1/131	0.14598601360501082	0.18452039283069893	0	0	6.637458193979933	12.77209215219812	C2CD4A
Monocarboxylic Acid Metabolic Process (GO:0032787)	1/137	0.15215755971727135	0.1913496584323261	0	0	6.342710997442455	11.942301842584483	MTHFD1L
Phosphate-containing Compound Metabolic Process (GO:0006796)	1/140	0.15522728253499068	0.19422911231765166	0	0	6.204879574601189	11.558852350583763	PPA1
Regulation of Cell Adhesion (GO:0030155)	1/142	0.1572678439946919	0.19579846577339144	0	0	6.116250385445575	11.31387002140436	C2CD4A
Protein Homooligomerization (GO:0051260)	1/146	0.16133480507043035	0.19986251971411523	0	0	5.946326836581709	10.847726700068097	ECT2
Protein Processing (GO:0016485)	1/156	0.17142008371286638	0.21130495467576102	0	0	5.559887798036466	9.805629981042626	BACE2
Regulation of Cell Cycle Process (GO:0010564)	1/158	0.1734231440596118	0.21272099936376027	0	0	5.488507338687344	9.615978751903613	ECT2
Regulation of Small GTPase Mediated Signal Transduction (GO:0051056)	1/164	0.17940452010763214	0.21897904660196277	0	0	5.284875966924513	9.080009525352985	ECT2
Protein-RNA Complex Assembly (GO:0022618)	1/170	0.18534440397131985	0.22512564189687143	0	0	5.095703627476203	8.5890099560058	WDR77
Ribosome Biogenesis (GO:0042254)	1/171	0.18633037002319205	0.22522457347463504	0	0	5.065473145780051	8.511180194969183	RAN
Protein Metabolic Process (GO:0019538)	2/669	0.19090295320118464	0.22963688573475832	0	0	2.6317295897505795	4.358118089880698	BACE2;QPCT
Heart Development (GO:0007507)	1/180	0.19515275272789886	0.2336203626406097	0	0	4.808598494049065	7.857118567173795	TBX3
Regulation of Apoptotic Process (GO:0042981)	2/722	0.21425974019188293	0.2552663890324347	0	0	2.4313131313131313	3.7455989793753157	ECT2;TBX3
Regulation of Translation (GO:0006417)	1/205	0.21918098639438185	0.25988602672476707	0	0	4.213981244671782	6.396222904647518	TRAP1
DNA-templated Transcription (GO:0006351)	1/215	0.22859848219145995	0.26976787708850014	0	0	4.015034538805364	5.92534046337219	NFE2L3
Transcription by RNA Polymerase II (GO:0006366)	1/217	0.23046887374409145	0.2705127103198728	0	0	3.9774557165861513	5.837470974584002	NFE2L3
Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	1/218	0.23140243894832493	0.2705127103198728	0	0	3.9589260669204567	5.794272015120509	ECT2
Protein Maturation (GO:0051604)	1/221	0.23419662685036094	0.27249981348476576	0	0	3.9043478260869566	5.667528779312132	BACE2
Negative Regulation of Cell Differentiation (GO:0045596)	1/225	0.23790707095400113	0.2753057141879504	0	0	3.8338509316770186	5.504931242247853	TBX3
Regulation of Cell Population Proliferation (GO:0042127)	2/777	0.23881941471725823	0.2753057141879504	0	0	2.252316715542522	3.2254247460482977	TBX3;S100A11
MRNA Splicing, via Spliceosome (GO:0000398)	1/242	0.253485135459449	0.29086543193273184	0	0	3.560346382825185	4.886397731024324	WDR77
Regulation of DNA-templated Transcription (GO:0006355)	4/2177	0.2613409469111858	0.2974450868843416	0	0	1.6385641969627243	2.198837492853582	TEAD4;NFE2L3;AJUBA;TBX3
Translation (GO:0006412)	1/251	0.26160832942839685	0.2974450868843416	0	0	3.430608695652174	4.600126595322002	MRPS23
Positive Regulation of Programmed Cell Death (GO:0043068)	1/253	0.2634019447621731	0.29778280222949877	0	0	3.4030365769496203	4.53990298042899	ECT2
Positive Regulation of Cell Motility (GO:2000147)	1/254	0.26429718591453505	0.29778280222949877	0	0	3.389413988657845	4.510229150861971	CLDN1
Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	1/301	0.3052171335817449	0.34174815780757933	0	0	2.851594202898551	3.3840776418466993	ECT2
Positive Regulation of Cell Differentiation (GO:0045597)	1/302	0.30606361120919756	0.34174815780757933	0	0	2.8419760219557997	3.3647925211139205	ECT2
Positive Regulation of Apoptotic Process (GO:0043065)	1/307	0.3102811959254574	0.344910793684995	0	0	2.7948280761579993	3.270721085323333	ECT2
Regulation of Cell Cycle (GO:0051726)	1/329	0.32854849492696125	0.36359366771917045	0	0	2.6044538706256626	2.898941622630818	TBX3
DNA Metabolic Process (GO:0006259)	1/336	0.33426293287002495	0.3682808419674169	0	0	2.5491239454899417	2.7933997929212744	RAN
Protein-containing Complex Assembly (GO:0065003)	1/339	0.3366976839496894	0.3685935746900966	0	0	2.5261126833033187	2.749850058051569	CLDN1
Regulation of Intracellular Signal Transduction (GO:1902531)	1/340	0.3375073695957511	0.3685935746900966	0	0	2.5185327690137234	2.7355495320853964	ECT2
Negative Regulation of Intracellular Signal Transduction (GO:1902532)	1/354	0.34874398934966194	0.37920197968587693	0	0	2.4169232664121196	2.5460284935978	AJUBA
Proteolysis (GO:0006508)	1/358	0.35192075611824264	0.3809924707540975	0	0	2.3893557422969187	2.495321885556832	BACE2
Intracellular Signaling Cassette (GO:0141124)	1/362	0.3550826695510068	0.38275144899653984	0	0	2.3623991328435507	2.446039034645683	NFE2L3
Negative Regulation of Programmed Cell Death (GO:0043069)	1/410	0.3918909717003271	0.4206071204887131	0	0	2.0800467736791752	1.9485287677494052	TBX3
Protein Modification Process (GO:0036211)	1/439	0.41314445730536664	0.4415148921417867	0	0	1.9394480841770896	1.7143905945524949	QPCT
Organelle Organization (GO:0006996)	1/442	0.41530200826402575	0.44192393187069406	0	0	1.9259587893128265	1.6924349238055412	AJUBA
Regulation of Cell Migration (GO:0030334)	1/484	0.4447209750418646	0.4706584153288169	0	0	1.7547033936447924	1.4218505762580986	CLDN1
Positive Regulation of Cell Population Proliferation (GO:0008284)	1/486	0.4460858876208867	0.4706584153288169	0	0	1.747288211564321	1.4104875273049102	TBX3
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	1/492	0.45016136075410923	0.47295434104545653	0	0	1.7254051182148233	1.3771306820626998	TBX3
Negative Regulation of Apoptotic Process (GO:0043066)	1/497	0.4535356220014395	0.47449735243007746	0	0	1.7075736325385695	1.3501468187169603	TBX3
Regulation of RNA Biosynthetic Process (GO:2001141)	1/503	0.45755854395118073	0.476703252903113	0	0	1.686644725446042	1.318703916552309	AJUBA
Nervous System Development (GO:0007399)	1/531	0.4759598795100662	0.4938083749916937	0	0	1.5952420016406892	1.1843423027724558	ECT2
Negative Regulation of Cellular Process (GO:0048523)	1/551	0.48873581141015277	0.50495940680966	0	0	1.5356521739130435	1.0994243726020745	S100A11
Regulation of Transcription by RNA Polymerase II (GO:0006357)	3/2321	0.5387374120412144	0.5543207256126544	0	0	1.0882534204363368	0.6731141266011316	TEAD4;NFE2L3;TBX3
Positive Regulation of Cellular Process (GO:0048522)	1/647	0.5460172122760684	0.5594991187520207	0	0	1.3009826356171759	0.7872308107530405	TBX3
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1/707	0.5786379464804237	0.5904952814492848	0	0	1.1867225027712773	0.6492301357010969	ECT2
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1/802	0.6257393534563779	0.6359555061658697	0	0	1.0408185420398415	0.48795796737732616	TBX3
